link,title,state
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/estado-de-mexico/entregan-kits-de-plomeria-y-electricidad-a-mujeres-de-ixtlahuaca/,Entregan kits de plomería y electricidad a mujeres de Ixtlahuaca,edo
https://8columnas.com.mx/estado-de-mexico/tlalnepantla-aprueba-reglas-de-operacion-de-mujer-emprendedora-empoderate/,Tlalnepantla aprueba reglas de operación de “Mujer emprendedora empodérate”,edo
https://8columnas.com.mx/local/buscan-a-tres-mujeres-ladronas-en-centro-joyero-toluca/,Buscan a tres mujeres ladronas en Centro Joyero Toluca,edo
https://8columnas.com.mx/estado-de-mexico/brindar-seguridad-y-desarrollo-a-las-mujeres-uno-de-los-objetivos-del-gem/,"Brindar seguridad y desarrollo a las mujeres, uno de los objetivos del GEM",edo
https://8columnas.com.mx/estado-de-mexico/mas-metro-emplear-a-jovenes-convertir-basura-en-energia-seguridad-para-mujeres-y-bienestar-en-seres-sintientes-impulsa-el-pvem/,"“Más Metro”, emplear a jóvenes, convertir basura en energía, seguridad para mujeres y bienestar en seres sintientes impulsa el PVEM",edo
https://8columnas.com.mx/estado-de-mexico/entregara-gem-del-12-al-24-de-febrero-las-tarjetas-mujeres-con-bienestar/,Entregará GEM del 12 al 24 de febrero las tarjetas Mujeres con Bienestar,edo
https://8columnas.com.mx/estado-de-mexico/publican-reglas-de-operacion-de-la-segunda-etapa-de-mujeres-con-bienestar/,Publican Reglas de Operación de la segunda etapa de “Mujeres con Bienestar”,edo
https://8columnas.com.mx/estado-de-mexico/cae-mujer-mientras-exploraba-el-nevado-de-toluca/,Cae mujer mientras exploraba el Nevado de Toluca,edo
https://8columnas.com.mx/estado-de-mexico/pjem-atendio-a-mas-de-3-mil-personas-en-ciudad-mujeres/,PJEM atendió a más de 3 mil personas en Ciudad Mujeres,edo
https://8columnas.com.mx/estado-de-mexico/programa-mujeres-con-bienestar-llega-a-san-felipe-del-progreso/,Programa “Mujeres con Bienestar” llega a San Felipe del Progreso,edo
https://8columnas.com.mx/estado-de-mexico/rinde-protesta-como-presidente-de-almoloya-de-juarez-adolfo-solis/,"Rinde protesta como presidente de Almoloya de Juárez, Adolfo Solís",edo
https://8columnas.com.mx/estado-de-mexico/se-mantiene-en-edomex-tendencia-a-la-baja-en-homicidio-doloso/,Se mantiene en Edoméx tendencia a la baja en homicidio doloso,edo
https://8columnas.com.mx/internacional/petro-vendera-residencia-embajador-mexico-mejorar-servicios-consulares/,Petro venderá la residencia del embajador en México para mejorar servicios consulares,edo
https://8columnas.com.mx/internacional/tiktok-enfrenta-investigacion-de-la-ue-por-presunta-interferencia-en-elecciones-presidenciales-de-rumania/,TikTok enfrenta investigación de la UE por presunta interferencia en elecciones presidenciales de Rumanía,edo
https://8columnas.com.mx/local/muere-mujer-en-autobus-en-la-terminal-de-toluca/,Muere mujer en autobús en la Terminal de Toluca,edo
https://8columnas.com.mx/estado-de-mexico/a-partir-de-esta-semana-mujeres-con-tarjeta-del-bienestar-comenzaran-a-recibir-el-apoyo/,"A partir de esta, semana mujeres con Tarjeta del Bienestar comenzarán a recibir el apoyo",edo
https://8columnas.com.mx/estado-de-mexico/en-san-antonio-la-isla-las-mujeres-saben-gobernar-y-saben-hacerlo-bien-liz-marlene-sandoval-colindres/,En San Antonio la Isla las mujeres saben gobernar y saben hacerlo bien Liz Marlene Sandoval Colindres,edo
